"CATEGORY","COUNTER","TRANSLATION","WORD"
"człowiek","0","arm","ręka"
"człowiek","0","leg","noga"
"człowiek","0","head","głowa"
"człowiek","104","hair","włosy"
"człowiek","0","eyes","oczy"
"człowiek","0","nose","nos"
"człowiek","0","lips","usta"
"człowiek","0","teeth","zęby"
"człowiek","0","foot","stopa"
"człowiek","0","back","plecy"
"człowiek","1","stomach","brzuch"
"człowiek","4","finger","palec"
"człowiek","0","toe","palec u stopy"
"człowiek","0","ears","uszy"
"człowiek","0","arm","ramię"
"jedzenie","0","noodles","makaron"
"jedzenie","104","rice","ryż"
"jedzenie","0","breakfast","śniadanie"
"jedzenie","0","lunch","obiad"
"jedzenie","0","dinner","kolacja"
"jedzenie","1","snack","przekąska"
"jedzenie","0","tomato","pomidor"
"jedzenie","5","potato","ziemniak"
"jedzenie","4","cucumber","ogórek"
"jedzenie","0","strawberries","truskawki"
"jedzenie","0","tee","herbata"
"jedzenie","0","blueberries","jagody"
"jedzenie","0","restaurant","restauracja"
"jedzenie","0","bakery","piekarnia"
"jedzenie","1","carrot","marchew"
"jedzenie","0","onion","cebula"
"jedzenie","0","cheese","ser"
"jedzenie","0","pork","wieprzowina"
"jedzenie","0","bacon","boczek"
"jedzenie","0","oat flakes","płatki owsiane"
"dom","0","home","dom"
"dom","0","flat","mieszkanie"
"dom","0","living room","salon"
"dom","0","bedroom","sypialnia"
"dom","1","bathroom","łazienka"
"dom","0","garage","garaż"
"dom","0","garden","ogród"
"dom","0","laundry","pralnia"
"dom","0","sofa","kanapa"
"dom","4","chair","krzesło"
"dom","0","table","stół"
"dom","1","kitchen","kuchnia"
"dom","1","bath tube","wanna"
"dom","0","shower","prysznic"
"dom","0","sink","zlew"
"dom","0","furniture","meble"
"dom","1","balcony","balkon"
"dom","0","window","okno"
"dom","1","door","drzwi"
"dom","0","cup","kubek"
