"COUNTER","CATEGORY","TRANSLATION","WORD"
"0","CZŁOWIEK","ARM","RĘKA"
"0","CZŁOWIEK","LEG","NOGA"
"0","CZŁOWIEK","HEAD","GŁOWA"
"0","CZŁOWIEK","HAIR","WŁOSY"
"0","CZŁOWIEK","EYES","OCZY"
"0","CZŁOWIEK","NOSE","NOS"
"0","CZŁOWIEK","LIPS","USTA"
"1","CZŁOWIEK","TEETH","ZĘBY"
"0","CZŁOWIEK","FOOT","STOPA"
"0","CZŁOWIEK","BACK","PLECY"
"0","CZŁOWIEK","STOMACH","BRZUCH"
"0","CZŁOWIEK","FINGER","PALEC"
"0","CZŁOWIEK","TOE","TALEC U STOPY"
"0","CZŁOWIEK","EARS","USZY"
"0","CZŁOWIEK","ARM","RAMIĘ"
"0","JEDZENIE","NOODLES","MAKARON"
"3","JEDZENIE","RICE","RYŻ"
"1","JEDZENIE","BREAKFAST","ŚNIADANIE"
"0","JEDZENIE","LUNCH","OBIAD"
"0","JEDZENIE","DINNER","KOLACJA"
"0","JEDZENIE","SNACK","PRZEKĄSKA"
"0","JEDZENIE","TOMATO","POMIDOR"
"0","JEDZENIE","POTATO","ZIEMNIAK"
"0","JEDZENIE","CUCUMBER","OGÓREK"
"0","JEDZENIE","STRAWBERRIES","TRUSKAWKI"
"0","JEDZENIE","TEE","HERBATA"
"0","JEDZENIE","BLUEBERRIES","JAGODY"
"0","JEDZENIE","RESTAURANT","RESTAURACJA"
"0","JEDZENIE","BAKERY","PIEKARNIA"
"1","JEDZENIE","CARROT","MARCHEW"
"0","JEDZENIE","ONION","CEBULA"
"0","JEDZENIE","CHEESE","SER"
"0","JEDZENIE","PORK","WIEPRZOWINA"
"0","JEDZENIE","BACON","BOCZEK"
"0","JEDZENIE","OAT FLAKES","PŁATKI OWSIANE"
"0","DOM","HOME","DOM"
"0","DOM","FLAT","MIESZKANIE"
"0","DOM","LIVING ROOM","SALON"
"9","DOM","BEDROOM","SYPIALNIA"
"0","DOM","BATHROOM","ŁAZIENKA"
"0","DOM","GARAGE","GARAŻ"
"0","DOM","GARDEN","OGRÓD"
"0","DOM","LAUNDRY","PRALNIA"
"0","DOM","SOFA","KANAPA"
"0","DOM","CHAIR","KRZESŁO"
"0","DOM","TABLE","STÓŁ"
"0","DOM","KITCHEN","KUCHNIA"
"0","DOM","BATH TUBE","WANNA"
"1","DOM","SHOWER","PRYSZNIC"
"0","DOM","SINK","ZLEW"
"0","DOM","FURNITURE","MEBLE"
"0","DOM","BALCONY","BALKON"
"0","DOM","WINDOW","OKNO"
"0","DOM","DOOR","DRZWI"
"0","DOM","CUP","KUBEK"
